A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
Episode 1347/10000 - Total Reward: 180.00
Episode 1348/10000 - Total Reward: 135.00
Episode 1349/10000 - Total Reward: 120.00
Episode 1350/10000 - Total Reward: 315.00
Episode 1351/10000 - Total Reward: 140.00
Episode 1352/10000 - Total Reward: 165.00
Episode 1353/10000 - Total Reward: 150.00
Episode 1354/10000 - Total Reward: 310.00
Episode 1355/10000 - Total Reward: 490.00
Episode 1356/10000 - Total Reward: 210.00
Episode 1357/10000 - Total Reward: 210.00
Episode 1358/10000 - Total Reward: 110.00
Episode 1359/10000 - Total Reward: 150.00
Episode 1360/10000 - Total Reward: 110.00
Episode 1361/10000 - Total Reward: 155.00
Episode 1362/10000 - Total Reward: 185.00
Episode 1363/10000 - Total Reward: 125.00
Episode 1364/10000 - Total Reward: 105.00
Episode 1365/10000 - Total Reward: 110.00
Episode 1366/10000 - Total Reward: 555.00
Episode 1367/10000 - Total Reward: 260.00
Episode 1368/10000 - Total Reward: 240.00
Episode 1369/10000 - Total Reward: 450.00
Episode 1370/10000 - Total Reward: 125.00
Episode 1371/10000 - Total Reward: 195.00
Episode 1372/10000 - Total Reward: 70.00
Episode 1373/10000 - Total Reward: 520.00
Episode 1374/10000 - Total Reward: 550.00
Episode 1375/10000 - Total Reward: 350.00
Episode 1376/10000 - Total Reward: 250.00
Episode 1377/10000 - Total Reward: 165.00
Episode 1378/10000 - Total Reward: 135.00
Episode 1379/10000 - Total Reward: 60.00
Episode 1380/10000 - Total Reward: 105.00
Episode 1381/10000 - Total Reward: 340.00
Episode 1382/10000 - Total Reward: 165.00
Episode 1383/10000 - Total Reward: 185.00
Episode 1384/10000 - Total Reward: 285.00
Episode 1385/10000 - Total Reward: 305.00
Episode 1386/10000 - Total Reward: 200.00
Episode 1387/10000 - Total Reward: 185.00
Episode 1388/10000 - Total Reward: 230.00
Episode 1389/10000 - Total Reward: 260.00
Episode 1390/10000 - Total Reward: 125.00
Episode 1391/10000 - Total Reward: 210.00
Episode 1392/10000 - Total Reward: 205.00
Episode 1393/10000 - Total Reward: 165.00
Episode 1394/10000 - Total Reward: 440.00
Episode 1395/10000 - Total Reward: 55.00
Episode 1396/10000 - Total Reward: 340.00
Episode 1397/10000 - Total Reward: 265.00
Episode 1398/10000 - Total Reward: 240.00
Episode 1399/10000 - Total Reward: 175.00
Episode 1400/10000 - Total Reward: 110.00
Episode 1401/10000 - Total Reward: 115.00
Episode 1402/10000 - Total Reward: 105.00
Episode 1403/10000 - Total Reward: 110.00
Episode 1404/10000 - Total Reward: 275.00
Episode 1405/10000 - Total Reward: 105.00
Episode 1406/10000 - Total Reward: 175.00
Episode 1407/10000 - Total Reward: 450.00
Episode 1408/10000 - Total Reward: 25.00
Episode 1409/10000 - Total Reward: 240.00
Episode 1410/10000 - Total Reward: 75.00
Episode 1411/10000 - Total Reward: 245.00
Episode 1412/10000 - Total Reward: 115.00
Episode 1413/10000 - Total Reward: 300.00
Episode 1414/10000 - Total Reward: 350.00
Episode 1415/10000 - Total Reward: 105.00
Episode 1416/10000 - Total Reward: 160.00
Episode 1417/10000 - Total Reward: 365.00
Episode 1418/10000 - Total Reward: 260.00
Episode 1419/10000 - Total Reward: 75.00
Episode 1420/10000 - Total Reward: 175.00
Episode 1421/10000 - Total Reward: 125.00
Episode 1422/10000 - Total Reward: 165.00
Episode 1423/10000 - Total Reward: 400.00
Episode 1424/10000 - Total Reward: 135.00
Episode 1425/10000 - Total Reward: 265.00
Episode 1426/10000 - Total Reward: 275.00
Episode 1427/10000 - Total Reward: 375.00
Episode 1428/10000 - Total Reward: 125.00
Episode 1429/10000 - Total Reward: 285.00
Episode 1430/10000 - Total Reward: 105.00
Episode 1431/10000 - Total Reward: 85.00
Episode 1432/10000 - Total Reward: 140.00
Episode 1433/10000 - Total Reward: 145.00
Episode 1434/10000 - Total Reward: 75.00
Episode 1435/10000 - Total Reward: 105.00
Episode 1436/10000 - Total Reward: 45.00
Episode 1437/10000 - Total Reward: 140.00
Episode 1438/10000 - Total Reward: 135.00
Episode 1439/10000 - Total Reward: 510.00
Episode 1440/10000 - Total Reward: 105.00
Episode 1441/10000 - Total Reward: 140.00
Episode 1442/10000 - Total Reward: 155.00
Episode 1443/10000 - Total Reward: 120.00
Episode 1444/10000 - Total Reward: 530.00
Episode 1445/10000 - Total Reward: 175.00
Episode 1446/10000 - Total Reward: 85.00
Episode 1447/10000 - Total Reward: 310.00
Episode 1448/10000 - Total Reward: 425.00
Episode 1449/10000 - Total Reward: 280.00
Episode 1450/10000 - Total Reward: 110.00
Episode 1451/10000 - Total Reward: 215.00
